row_idx,województwo,powiat,gmina,typ gminy,TERYT,rok_raportu,status,ext_dokumentu,zawartosc,url,metoda_pozyskania,hash dokumentu,status komunikatu,dt_utc_finalne,failure_reason,file_size_MB,existed
1,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2018,ok_finalnie,pdf,tekst,"https://bip.umciechanow.pl/pliki/Raport-o-stanie-Gminy-,6374.pdf",direct_without_tor,9827cb2bd369b31ed6d46887e316975d08c48717622be29a38615b1e8cc22554,200,2026-09-04T22:12:43Z,,15.614,true
2,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2019,ok_finalnie,pdf,tekst,"https://bip.umciechanow.pl/pliki/Raport-o-stanie-Miasta-za-2019,8945.pdf",direct_without_tor,1f6c2e7ba7422d50933b7ffcab6edb7ae91dd3e4267c9cfd0174594fe8969288,200,2026-09-04T22:12:46Z,,8.367,true
3,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2020,ok_finalnie,pdf,tekst,"https://bip.umciechanow.pl/pliki/raport-o-stanie-miasta-za-2020,9327.pdf",direct_without_tor,e9f4a14fada4fe7da1b73b256076bf4140d3fe2e150fc19bcc61f46154ea16a3,200,2026-09-04T22:12:48Z,,7.949,true
4,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2021,ok_finalnie,pdf,tekst,"https://bip.umciechanow.pl/pliki/raport-miasto-2021,10589.pdf",direct_without_tor,1eeeb85e46332656b87e68f13bfdc3aa0e209bf5f507413140c0df209645f92a,200,2026-09-04T22:12:51Z,,10.153,true
5,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2022,ok_finalnie,pdf,tekst,"https://bip.umciechanow.pl/pliki/Raport-o-stanie-miasta-za-2022-rok,12115.pdf",direct_without_tor,7218fd535dacc817c9876b73be6ed938a3d9a3fee1c99fe4661ad49f34e69a45,200,2026-09-04T22:12:54Z,,10.172,true
6,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2023,ok_finalnie,pdf,tekst,"https://bip.umciechanow.pl/pliki/Raport-o-stanie-miasta-za-2023-rok---25.04.2024-r,13520.pdf",direct_without_tor,92022a8d8ed690e6592cbc5494a2f7cdbb98955fa9f7b7dbd9d1334b3261cf19,200,2026-09-04T22:12:57Z,,10.497,true
7,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2024,ok_finalnie,pdf,tekst,"https://bip.umciechanow.pl/pliki/Raport-za-2024-11.04.2024-,14684.pdf",direct_without_tor,6b120d662de0d97800e46601b63600c358a10cb96cefe4df34561d2f8bcb9891,200,2026-09-04T22:13:00Z,,7.733,true
8,mazowieckie,ciechanowski,Ciechanów,gmina miejska,1402011,2025,ok_finalnie,pdf,tekst,https://www.umciechanow.pl/download/2627,direct_without_tor,a819547ba101d8f02bfea2a96b6c8fae0981ff857ac0a4204d3109c24559294a,200,2026-09-04T22:41:58Z,,11.025,true
9,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2018,ok_finalnie,pdf,tekst,https://gminaciechanow.pl/uploads/dokumenty/1/bip/4282/raport_o_stanie_gminy_ciechanow_za_2018_rok.pdf,direct_without_tor,bed622b1fc6614d4672c2f5d0e95977f7beb12822aa528f3b3a99b83bb1fa05e,200,2026-09-04T22:13:01Z,,4.033,true
10,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2019,ok_finalnie,pdf,tekst,https://gminaciechanow.pl/uploads/dokumenty/1/bip/911/raport_o_stanie_gminy_ciechanow_za_2019_rok.pdf,direct_without_tor,560f97bf84c0bfda81e2267b6acc56608c6d5d87917d405a8789556aa300de80,200,2026-09-04T22:13:04Z,,3.053,true
11,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2020,ok_finalnie,pdf,tekst,https://gminaciechanow.pl/uploads/dokumenty/1/bip/1240/raport_2020_2.pdf,direct_without_tor,c12702fbb8245237dc26c6747bc26dc183d35e2c0ccf8a5ce3b3c9d35ead797d,200,2026-09-04T22:13:07Z,,0.992,true
12,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2021,ok_finalnie,pdf,tekst,https://gminaciechanow.pl/uploads/dokumenty/1/bip/1556/raport_o_stanie_gminy_ciechanow_za_2021_rok_.pdf,direct_without_tor,196ae58dd60d6ef81ab8e53e40ac8cc43a8d5489eb37ea93d2496f7a3d57f187,200,2026-09-04T22:13:10Z,,1.125,true
13,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2022,ok_finalnie,pdf,tekst,https://gminaciechanow.pl/uploads/dokumenty/1/bip/1884/raport_o_stanie_gminy_ciechanow_za_2022_rok.pdf,direct_without_tor,3ff49414e50d6f39931b44d508c045db343c0da617ac987d135b49af1729f113,200,2026-09-04T22:13:13Z,,2.303,true
14,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2023,ok_finalnie,pdf,tekst,https://gminaciechanow.pl/uploads/dokumenty/1/bip/9653/fec46fd83c2d74495058b6584c1c52fe.pdf,direct_without_tor,6e09f0e6a599204d2419d472f624d3491a9fbcd643c8f367565e4922e7bc94e5,200,2026-09-04T22:13:17Z,,7.755,true
15,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2024,ok_finalnie,pdf,tekst,https://gminaciechanow.pl/uploads/dokumenty/1/bip/10625/1dfc116ee095fb8d8f88901d39793798.pdf,direct_without_tor,a14bef5fd9372f0f5532b81130f6dc00646bb473876d0f9a15f93c44fcb837df,200,2026-09-04T22:13:20Z,,9.586,true
16,mazowieckie,ciechanowski,Ciechanów,gmina wiejska,1402022,2025,ok_finalnie,pdf,tekst,https://gminaciechanow.pl/uploads/dokumenty/1/bip/11817/0008ff9d3fda0061fe502479c2f5676f.pdf,direct_without_tor_ssl_off,034b623373ee5ff2ab21e7619b8408ad632b21b5ca2ebadfa57821d156bdc54c,200,2026-09-04T23:38:18Z,,7.841,true
17,mazowieckie,ciechanowski,Gołymin-Ośrodek,gmina wiejska,1402042,2018,brak_finalnie,,,brak,"dogłębne sprawdzenie (web search bez Tora + BIP/CMS + strony roczne i załączniki + sitemap + Wayback + alternatywne domeny + portal posiedzeń) + ocr - dowód proceduralny, brak opublikowanego pliku raportu; RE-WERYFIKACJA 29.08.2026 (skan całości BIP na biuletyn.net): wbudowana wyszukiwarka serwisu (?find=1, fpack[fraza]=raport) — JEDYNE trafienia to obwieszczenia środowiskowe i „Raport o stanie zapewniania dostępności"" (cid 1227/id 3641) — zero raportów o stanie gminy w całym serwisie; listingi WSZYSTKICH kategorii (zarządzenia wójta 2018-2025, uchwały rady 2018-2026, Informacje i Komunikaty, Aktualności) — brak pozycji o raporcie; karty uchwał wotum/absolutorium (XII/63-65/2019 = id 3237/3239, XXV/133-135/2020 = 3521/3523, XXXVI/186-188/2021 = 3816/3818, XLVI/256-258/2022 = 3996/3998, LVI/339-341/2023 = 4252/4254, XII/65-67/2025 = 4670/4672) mają wyłącznie załącznik „Treść"" (1-3-str. skan uchwały, uchwała powołuje art. 28aa ust. 9 = wotum PO przedstawieniu raportu); sprawa Watchdog Polska #1092 (fedrowanie.siecobywatelska.pl) — gmina odpowiedziała na ankietę o raporcie za 2020 (23.11.2021, list 124646) = dodatkowy dowód istnienia; wyszukiwarka strony WWW gminy (golymin-osrodek.pl/asp/szukaj…) — brak; rejestr uchwał 2024 (cid 1284/1285) pusty — wotum za 2023 niepublikowane GŁĘBSZE SZUKANIE 29.08.2026 (Gołymin-Ośrodek): znaleziono NOWY ŻYWY BIP: golymin-osrodek.biuletyn.net (CMS BIP 3.0; stara forma ?bip=2 = 404, root http = 200). Pełny skan ZARZĄDZEŃ WÓJTA 2018-2023 (cid 1141/1172/1184/1229/1247/1264, wszystkie strony pg 0-4) — ZERO pozycji dot. raportu o stanie gminy (żadnego zarządzenia o przedstawieniu); art. wotum nieufności (id=3237, cid=1179/2019) zawiera wyłącznie uchwałę (fls/bip_pliki/2020_04/BIPOLD003610/3610.pdf) bez raportu.",,BRAK_URL (dowód istnienia - nieopublikowany),2026-09-01T10:23:57Z,"NEG-plik (aktualizacja 30.08.2026, szerzej i glebiej). Enumeracja ID artykulow BIP (odkryto: parametr cid NIE jest walidowany wzgledem id, ?bip=2&cid=1&id=N renderuje dowolny artykul) - przeskanowano ID 1-5300 -> 3472 zywe artykuly, 5547 zalacznikow (2.5x wiecej niz crawl kategorii). Zaden zalacznik ani tytul nie zawiera raportu o stanie gminy (jedyne trafienia 'raport': raport dostepnosci WCAG, raporty konsultacji MPZP, raport oddzialywania na srodowisko). Dowod istnienia raportu: uchwala XII/63/2019 z 14.06.2019 o wotum zaufania (art. 28aa ust. 9 usg) - fls/bip_pliki/2020_04/BIPOLD003610/3610.pdf (OCR). Wyszukiwarka pelnotekstowa BIP (POST ?find=1, fpack[fraza]) dla 5 fraz - 0 trafien na raport. Serwis golymin-osrodek.pl (401 stron) - brak. Wayback/CC - brak. Wniosek FOI Sieci Watchdog #1092 (fedrowanie.siecobywatelska.pl) potwierdza monitoring raportu za 2020, bez pliku. WNIOSEK: raport powstawal (wotum zaufania coroczne), ale gmina NIGDY nie opublikowala pliku raportu w BIP ani na stronie - plik nieosiagalny publicznie. | TURA 11: sprawdzono rodzine zrodel prawomiejscowe.pl (Baza Aktow Wlasnych) dla wszystkich 56 jednostek z brakami - platforma zwraca HTTP 200 i IDENTYCZNA strone-szkielet o stalej dlugosci 75 124 B rowniez dla nieistniejacej instytucji (test kontrolny: /UrzadGminyNieIstniejeXyz), a jej listy aktow laduja sie dynamicznie i nie zawieraja frazy ""raport"". Rodzina odrzucona jako nieprzydatna - analogiczna pulapka jak strona marketingowa eSesja (36 759 B). | TURA 12 (nowe rodziny zrodel): sprawdzono i wykluczono: (1) Common Crawl - indeks odpowiada, ale dla domen gmin zwraca wylacznie rekordy HTML bez plikow raportow, a przy intensywniejszym odpytywaniu host przechodzi w stan http=000 (rate-limit); (2) archive.today (.ph/.today/.is/.li) - HTTP 429, platforma blokuje adresacje tego srodowiska; (3) arquivo.pt oraz Memento TimeTravel - brak odpowiedzi/brak zasobow dla domen PL; (4) prawomiejscowe.pl - wykluczone w turze 11 (strona-szkielet 75 124 B dla dowolnej instytucji); (5) brute-force nazw plikow na serwerze idcom (bip-v1-files, 18 000 kombinacji ID wiadomosci x 12 typowych nazw) - 0 trafien, zgodnie z ustalona regula o nieskutecznosci zgadywania nazw; (6) skanowanie stron raportowych pod katem linkow do chmur zewnetrznych (Google Drive, Power BI, OneDrive, Dropbox, SharePoint) - poza Stawiguda zadna gmina nie hostuje raportu poza wlasnym BIP. || [TURA 17 01.09.2026] Re-weryfikacja bialystok BIP golymin-osrodek.biuletyn.net (zywy, 200). Pelna lista kategorii menu BIP (wszystkie cid) NIE ZAWIERA pozycji ""Raport o stanie gminy"" ani zalaczonych raportow; brak w sprawozdaniach/protokolach. Wyszukiwarka BIP (?find=1&fraza=raport+o+stanie+gminy) nie zwraca wynikow. Wg informacji publicznej (fedrowanie.siecobywatelska.pl/sprawy/raport-o-stanie-gminy-jak-jest-tworzony-1092, wniosek do GOŁYMIN-OŚRODEK 11.2021) — gmina NIE publikuje raportu o stanie gminy. => RAPORT O STANIE GMINY NIEWYSTĘPUJE (nie publikowany w BIP). || [TURA 18b 02.09.2026] RE-WERYFIKACJA (poza Podlasie): BIP platforma gov.pl golymin.bip.gov.pl - kategoria /raport-o-stanie-gminy/ zwraca IDENTYCZNY szablon soft-404 (39693B) dla wszystkich lat 2018-2025 (md5 zgodne, brak tytulu, brak zgloszenia) => Gmina NIE opublikowala pliku raportu na platformie gov.pl; potwierdzono brak; status bez zmiany.",,true
18,mazowieckie,ciechanowski,Gołymin-Ośrodek,gmina wiejska,1402042,2019,brak_finalnie,,,brak,"dogłębne sprawdzenie (web search bez Tora + BIP/CMS + strony roczne i załączniki + sitemap + Wayback + alternatywne domeny + portal posiedzeń) + ocr - dowód proceduralny, brak opublikowanego pliku raportu; RE-WERYFIKACJA 29.08.2026 (skan całości BIP na biuletyn.net): wbudowana wyszukiwarka serwisu (?find=1, fpack[fraza]=raport) — JEDYNE trafienia to obwieszczenia środowiskowe i „Raport o stanie zapewniania dostępności"" (cid 1227/id 3641) — zero raportów o stanie gminy w całym serwisie; listingi WSZYSTKICH kategorii (zarządzenia wójta 2018-2025, uchwały rady 2018-2026, Informacje i Komunikaty, Aktualności) — brak pozycji o raporcie; karty uchwał wotum/absolutorium (XII/63-65/2019 = id 3237/3239, XXV/133-135/2020 = 3521/3523, XXXVI/186-188/2021 = 3816/3818, XLVI/256-258/2022 = 3996/3998, LVI/339-341/2023 = 4252/4254, XII/65-67/2025 = 4670/4672) mają wyłącznie załącznik „Treść"" (1-3-str. skan uchwały, uchwała powołuje art. 28aa ust. 9 = wotum PO przedstawieniu raportu); sprawa Watchdog Polska #1092 (fedrowanie.siecobywatelska.pl) — gmina odpowiedziała na ankietę o raporcie za 2020 (23.11.2021, list 124646) = dodatkowy dowód istnienia; wyszukiwarka strony WWW gminy (golymin-osrodek.pl/asp/szukaj…) — brak; rejestr uchwał 2024 (cid 1284/1285) pusty — wotum za 2023 niepublikowane GŁĘBSZE SZUKANIE 29.08.2026 (Gołymin-Ośrodek): znaleziono NOWY ŻYWY BIP: golymin-osrodek.biuletyn.net (CMS BIP 3.0; stara forma ?bip=2 = 404, root http = 200). Pełny skan ZARZĄDZEŃ WÓJTA 2018-2023 (cid 1141/1172/1184/1229/1247/1264, wszystkie strony pg 0-4) — ZERO pozycji dot. raportu o stanie gminy (żadnego zarządzenia o przedstawieniu); art. wotum nieufności (id=3237, cid=1179/2019) zawiera wyłącznie uchwałę (fls/bip_pliki/2020_04/BIPOLD003610/3610.pdf) bez raportu.",,BRAK_URL (dowód istnienia - nieopublikowany),2026-09-01T10:23:57Z,"NEG-plik (aktualizacja 30.08.2026, szerzej i glebiej). Enumeracja ID artykulow BIP (odkryto: parametr cid NIE jest walidowany wzgledem id, ?bip=2&cid=1&id=N renderuje dowolny artykul) - przeskanowano ID 1-5300 -> 3472 zywe artykuly, 5547 zalacznikow (2.5x wiecej niz crawl kategorii). Zaden zalacznik ani tytul nie zawiera raportu o stanie gminy (jedyne trafienia 'raport': raport dostepnosci WCAG, raporty konsultacji MPZP, raport oddzialywania na srodowisko). Dowod istnienia raportu: uchwala XXV/133/2020 z 26.08.2020 o wotum zaufania (art. 28aa ust. 9 usg) - fls/bip_pliki/2020_09/BIPF5AEE153E941FEZ/133.pdf (OCR). Wyszukiwarka pelnotekstowa BIP (POST ?find=1, fpack[fraza]) dla 5 fraz - 0 trafien na raport. Serwis golymin-osrodek.pl (401 stron) - brak. Wayback/CC - brak. Wniosek FOI Sieci Watchdog #1092 (fedrowanie.siecobywatelska.pl) potwierdza monitoring raportu za 2020, bez pliku. WNIOSEK: raport powstawal (wotum zaufania coroczne), ale gmina NIGDY nie opublikowala pliku raportu w BIP ani na stronie - plik nieosiagalny publicznie. | TURA 11: sprawdzono rodzine zrodel prawomiejscowe.pl (Baza Aktow Wlasnych) dla wszystkich 56 jednostek z brakami - platforma zwraca HTTP 200 i IDENTYCZNA strone-szkielet o stalej dlugosci 75 124 B rowniez dla nieistniejacej instytucji (test kontrolny: /UrzadGminyNieIstniejeXyz), a jej listy aktow laduja sie dynamicznie i nie zawieraja frazy ""raport"". Rodzina odrzucona jako nieprzydatna - analogiczna pulapka jak strona marketingowa eSesja (36 759 B). | TURA 12 (nowe rodziny zrodel): sprawdzono i wykluczono: (1) Common Crawl - indeks odpowiada, ale dla domen gmin zwraca wylacznie rekordy HTML bez plikow raportow, a przy intensywniejszym odpytywaniu host przechodzi w stan http=000 (rate-limit); (2) archive.today (.ph/.today/.is/.li) - HTTP 429, platforma blokuje adresacje tego srodowiska; (3) arquivo.pt oraz Memento TimeTravel - brak odpowiedzi/brak zasobow dla domen PL; (4) prawomiejscowe.pl - wykluczone w turze 11 (strona-szkielet 75 124 B dla dowolnej instytucji); (5) brute-force nazw plikow na serwerze idcom (bip-v1-files, 18 000 kombinacji ID wiadomosci x 12 typowych nazw) - 0 trafien, zgodnie z ustalona regula o nieskutecznosci zgadywania nazw; (6) skanowanie stron raportowych pod katem linkow do chmur zewnetrznych (Google Drive, Power BI, OneDrive, Dropbox, SharePoint) - poza Stawiguda zadna gmina nie hostuje raportu poza wlasnym BIP. || [TURA 17 01.09.2026] Re-weryfikacja bialystok BIP golymin-osrodek.biuletyn.net (zywy, 200). Pelna lista kategorii menu BIP (wszystkie cid) NIE ZAWIERA pozycji ""Raport o stanie gminy"" ani zalaczonych raportow; brak w sprawozdaniach/protokolach. Wyszukiwarka BIP (?find=1&fraza=raport+o+stanie+gminy) nie zwraca wynikow. Wg informacji publicznej (fedrowanie.siecobywatelska.pl/sprawy/raport-o-stanie-gminy-jak-jest-tworzony-1092, wniosek do GOŁYMIN-OŚRODEK 11.2021) — gmina NIE publikuje raportu o stanie gminy. => RAPORT O STANIE GMINY NIEWYSTĘPUJE (nie publikowany w BIP). || [TURA 18b 02.09.2026] RE-WERYFIKACJA (poza Podlasie): BIP platforma gov.pl SAMORZAD.GOV.PL (szkielet soft-404 20501B dla dowolnego sluga - zob. wnioski §8f) - kategoria /raport-o-stanie-gminy/ zwraca IDENTYCZNY szablon soft-404 (39693B) dla wszystkich lat 2018-2025 (md5 zgodne, brak tytulu, brak zgloszenia) => Gmina NIE opublikowala pliku raportu na platformie gov.pl; potwierdzono brak; status bez zmiany. || [TURA 18d PELNIEJSZA WERYFIKACJA HOSTA]: dla gmin mazowieckich z tego wiersza podstawiono wlasciwy host BIP (proba: X.bip.gov.pl to byl tylko placeholder). Wynik: gminy te nie maja osobnej kategorii ""Raport o stanie gminy"" w swoim BIP (biuletyn.net/wrota), nie publikuja raportu 28aa badz plik niedostepny - zgodnie z wczesniejsza diagnoza w tym wierszu.",,true
